Title	Author	Date	Availability	Genre	Subgenre	Form	Regularisation	Nb of tokens (c.)	File	
LES DAMES VENGÉES, COMÉDIE	DONNEAU DE VIZÉ, Jean (1638-1710)	1695	cc-by-nc-sa	theatre	comedy	verse	yes	20747	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DONNEAUDEVISE_DAMESVENGEES.xml	
AUTREFOIS, COMÉDIE.	Charles CROS (1842-1888)	1881	cc-by-nc-sa	theatre	other	prose	yes	724	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CROS_AUTREFOIS.xml	
LE CHEVALIER À LA MODE, COMÉDIE	DANCOURT, Florent CARTON dit	1687	cc-by-nc-sa	theatre	comedy	prose	yes	21273	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DANCOURT_CHEVALIERALAMODE.xml	
MA POUPÉE, COMÉDIE	BONNETAIN, Paul (1858-1899)	1885	cc-by-nc-sa	theatre	other	prose	yes	1917	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BONNETAIN_MAPOUPEE.xml	
MOLIÈRE ET MIGNARD À AVIGNON, COMÉDIE	Eugène de PRADEL (1787?-1857)	1829	cc-by-nc-sa	theatre	comedy	mixed	yes	4951	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/PRADEL_MOLIEREAVIGNON.xml	
LES ANIMAUX RAISONNABLES, OPÉRA COMIQUE	FUZELIER, Louis et LEGRAND, Marc-Antoine	1718	cc-by-nc-sa	theatre	other	mixed	yes	3155	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/FUZELIERLEGRAND_ANIMAUXRAISONNABLES.xml	
LA FÊTE DE BELLÉBAT, DIVERTISSEMENT	VOLTAIRE (1694-1778)	1801	cc-by-nc-sa	theatre	other	verse	yes	3852	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/VOLTAIRE_FETEDEBELLEBAT.xml	
OEDIPE, TRAGÉDIE	VOLTAIRE (1694-1778)	1718	cc-by-nc-sa	theatre	tragedy	verse	yes	12645	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/VOLTAIRE_OEDIPE_V.xml	
LE COMMENCEMENT DE LA FIN, COMÉDIE.	CHAUVIN	1881	cc-by-nc-sa	theatre	comedy	prose	yes	2832	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CHAUVIN_COMMENCEMENTDELAFIN.xml	
MARIANE, TRAGÉDIE	TRISTAN L'HERMITE, François	1644	cc-by-nc-sa	theatre	tragedy	verse	yes	16550	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/TRISTAN_MARIANE.xml	
